iteration,verb,status,dns_ms,tcp_ms,tls_ms,ttfb_ms,total_ms
177,POST,400,4.59,28.62,59.39,275.41,276.0
178,OPTIONS,204,4.45,31.17,49.26,631.04,631.11
178,POST,400,4.91,31.45,49.03,634.71,635.19
179,OPTIONS,204,3.21,30.99,47.64,247.93,247.99
179,POST,400,4.78,28.94,51.74,250.53,250.93
180,OPTIONS,204,4.51,29.71,47.02,255.36,255.46
180,POST,400,4.66,30.0,52.27,250.94,251.31
181,OPTIONS,204,5.45,34.88,50.7,270.49,270.58
181,POST,400,4.7,30.23,52.99,268.48,269.88
182,OPTIONS,204,5.62,28.57,52.98,255.27,255.38
182,POST,400,5.12,31.47,46.53,250.29,250.54
183,OPTIONS,204,4.46,36.5,44.47,253.83,253.93
183,POST,400,4.85,30.4,49.44,258.44,258.79
184,OPTIONS,204,16.54,31.86,56.65,277.12,277.22
184,POST,400,4.59,36.02,58.19,286.37,286.85
185,OPTIONS,204,3.54,31.53,47.51,586.84,586.94
185,POST,400,3.8,34.43,52.4,251.64,251.93
186,OPTIONS,204,6.07,30.9,48.1,258.19,258.26
186,POST,400,5.0,28.99,46.94,246.73,246.98
187,OPTIONS,204,5.75,28.55,45.3,239.58,239.7
187,POST,400,4.76,32.49,47.33,241.05,241.43
188,OPTIONS,204,3.58,29.38,43.55,246.52,246.62
188,POST,400,3.41,30.52,48.19,255.94,256.27
189,OPTIONS,204,4.69,32.02,47.53,644.82,644.95
189,POST,400,5.67,28.88,49.48,256.62,256.9
190,OPTIONS,204,11.38,30.66,46.48,256.57,256.73
190,POST,400,5.1,33.62,53.61,266.05,266.58
191,OPTIONS,204,5.15,32.13,47.2,249.72,249.79
191,POST,400,4.88,31.6,48.59,248.62,249.1
192,OPTIONS,204,4.06,29.81,50.69,252.53,252.59
192,POST,400,5.47,32.67,51.9,269.98,270.65
193,OPTIONS,204,6.12,31.16,45.18,240.93,241.01
193,POST,400,4.97,31.4,43.51,250.06,250.46
194,OPTIONS,204,4.36,31.3,48.76,629.51,629.57
194,POST,400,4.96,33.02,49.88,253.12,253.79
195,OPTIONS,204,3.81,31.4,51.12,254.52,254.65
195,POST,400,5.04,34.46,56.1,258.4,259.14
196,OPTIONS,204,4.58,29.21,49.03,248.49,248.59
196,POST,400,4.54,33.08,51.75,568.98,569.47
197,OPTIONS,204,4.72,30.46,46.75,250.87,250.93
197,POST,400,3.52,35.24,44.49,238.23,238.58
198,OPTIONS,204,4.15,31.68,47.72,263.14,263.44
198,POST,400,9.61,36.54,43.86,249.16,249.62
199,OPTIONS,204,4.6,30.15,50.59,255.23,255.34
199,POST,400,5.35,34.24,56.61,282.76,283.41
200,OPTIONS,204,6.44,29.69,54.95,265.85,265.95
200,POST,400,5.31,30.08,46.09,254.28,254.84
