iteration,verb,status,dns_ms,tcp_ms,tls_ms,ttfb_ms,total_ms
157,OPTIONS,204,12.12,30.32,54.26,273.47,273.59
157,POST,200,3.92,30.1,56.76,292.59,292.94
158,OPTIONS,204,4.37,30.0,53.11,258.24,258.34
158,POST,200,3.68,31.79,46.01,247.62,247.95
159,OPTIONS,204,4.78,29.71,52.39,269.31,269.4
159,POST,200,8.39,33.59,47.49,253.52,254.16
160,OPTIONS,204,5.74,30.61,48.11,256.95,257.04
160,POST,200,5.39,32.41,47.9,254.33,254.66
161,OPTIONS,204,4.95,29.88,47.15,249.64,249.77
161,POST,200,3.0,28.82,49.84,281.57,281.92
162,OPTIONS,204,5.32,30.51,49.02,255.29,255.38
162,POST,200,5.28,29.74,51.82,269.8,270.11
163,OPTIONS,204,5.66,30.97,57.66,260.87,261.0
163,POST,200,5.05,35.02,52.04,254.9,255.42
164,OPTIONS,204,4.91,31.46,45.16,244.47,247.88
164,POST,200,5.71,29.88,47.22,245.18,245.64
165,OPTIONS,204,4.34,28.77,51.09,250.85,250.96
165,POST,200,4.55,28.13,47.64,239.72,240.29
166,OPTIONS,204,4.37,37.5,44.37,248.75,248.9
166,POST,200,5.39,29.86,41.43,242.37,242.73
167,OPTIONS,204,4.24,29.74,52.68,248.01,248.09
167,POST,200,4.66,31.2,49.73,267.21,267.69
168,OPTIONS,204,3.73,30.84,49.44,256.51,256.62
168,POST,200,5.6,31.44,47.29,254.32,254.79
169,OPTIONS,204,5.38,31.15,52.07,265.0,265.12
169,POST,200,4.98,28.94,50.48,247.23,247.92
170,OPTIONS,204,5.24,30.37,49.19,253.48,253.58
170,POST,200,5.06,28.71,56.25,254.07,254.55
171,OPTIONS,204,4.79,30.92,44.06,238.9,238.96
171,POST,200,3.64,30.47,52.58,251.16,251.63
172,OPTIONS,204,4.51,35.34,51.98,269.79,269.89
172,POST,200,5.14,32.33,48.43,260.19,260.57
173,OPTIONS,204,5.1,39.34,52.63,266.75,268.08
173,POST,200,5.17,29.9,49.84,263.49,264.16
174,OPTIONS,204,4.09,31.19,47.83,261.78,261.84
174,POST,200,5.07,31.06,47.76,245.29,245.69
175,OPTIONS,204,12.34,29.29,51.4,254.46,254.58
175,POST,200,5.16,31.66,56.12,266.82,270.8
176,OPTIONS,204,4.57,31.51,48.76,255.48,255.54
176,POST,200,3.57,30.48,51.38,260.32,262.37
177,OPTIONS,204,6.94,29.92,56.95,261.63,261.69
177,POST,200,3.21,30.11,44.43,234.22,234.42
178,OPTIONS,204,5.43,29.29,46.85,244.76,244.88
178,POST,200,4.76,30.01,48.02,255.99,256.43
179,OPTIONS,204,4.39,29.21,47.74,239.68,239.79
179,POST,200,5.21,34.4,47.32,252.0,252.28
180,OPTIONS,204,5.28,29.43,47.58,242.5,242.62
180,POST,200,5.17,34.59,47.66,246.25,246.49
181,OPTIONS,204,4.27,30.14,54.62,255.12,255.21
181,POST,200,4.18,31.49,58.22,277.45,277.94
182,OPTIONS,204,5.54,30.18,48.73,252.85,252.92
182,POST,200,4.82,29.73,45.95,263.95,264.41
183,OPTIONS,204,4.41,29.4,46.76,250.24,250.34
183,POST,200,4.44,34.03,55.17,269.5,269.88
184,OPTIONS,204,5.1,32.67,47.54,255.76,255.84
184,POST,200,5.53,30.32,54.55,270.7,271.0
185,OPTIONS,204,3.81,30.99,44.21,234.93,235.02
185,POST,200,3.73,29.7,50.48,255.68,255.93
186,OPTIONS,204,6.59,29.23,52.02,270.55,270.68
186,POST,200,4.94,29.63,47.21,250.47,251.06
187,OPTIONS,204,5.95,31.04,49.51,248.59,248.69
187,POST,200,5.51,31.56,53.12,258.11,258.41
188,OPTIONS,204,2.98,29.01,48.79,263.23,263.31
188,POST,200,3.42,29.29,49.63,243.32,243.66
189,OPTIONS,204,2.91,30.53,55.57,257.29,257.38
189,POST,200,4.92,35.29,44.48,244.0,244.41
190,OPTIONS,204,4.81,28.73,47.88,244.21,244.3
190,POST,200,5.64,29.25,53.07,258.53,258.97
191,OPTIONS,204,5.11,29.45,44.87,240.34,240.45
191,POST,200,5.02,35.87,52.64,268.59,269.06
192,OPTIONS,204,5.36,30.36,55.23,264.14,264.26
192,POST,200,4.9,33.99,43.55,257.57,258.12
193,OPTIONS,204,3.92,31.6,44.28,256.73,256.85
193,POST,200,4.89,31.04,48.26,251.41,252.04
194,OPTIONS,204,5.75,32.11,44.83,239.14,239.24
194,POST,200,4.89,34.94,54.5,268.33,268.72
195,OPTIONS,204,5.33,30.32,48.66,260.06,260.21
195,POST,200,5.22,34.3,50.17,268.24,268.7
196,OPTIONS,204,4.89,29.37,47.27,239.71,240.24
196,POST,200,5.2,29.55,48.15,251.19,251.82
197,OPTIONS,204,5.7,30.28,61.37,265.4,265.5
197,POST,200,5.01,30.82,47.45,246.0,246.44
198,OPTIONS,204,4.92,29.31,46.43,252.71,252.79
198,POST,200,5.21,30.76,46.81,264.93,265.35
199,OPTIONS,204,6.52,29.64,55.23,258.85,258.93
199,POST,200,4.97,31.49,43.34,244.28,245.07
200,OPTIONS,204,5.18,30.16,44.26,241.78,241.92
200,POST,200,6.56,29.78,47.29,259.34,259.53
